LIFEFORM,FAMILY,GENUS,SPECIES,SP6,sp,abscised_seeds,viable_seeds,total_seeds,proportion_abscised,sum_part1,sum_part2,sum_part5,n_traps,n_years
TREE,Clusiaceae,Symphonia,globulifera,SYMPGL,SYMG,57.6,17.8,75.4,0.763925729,8,5,36,10,13
TREE,Bignoniaceae,Jacaranda,copaia,JAC1CO,JACC,769777.5,249360.75,1019138.25,0.75532196,226,205206,3940,443,33
UNDERSTORY,Fabaceae:Mim,Inga,umbellifera,INGAUM,INUM,22,7.333333333,29.33333333,0.75,1,0,3,3,3
UNDERSTORY,Melastomatac,Miconia,argentea,MICOAR,MIC2,1092644.4,376123.2,1468767.6,0.743919188,5822,22,16914,24,31
UNDERSTORY,Simaroubacea,Simarouba,amara,SIMAAM,SIMA,6096,2149,8245,0.739357186,774,1375,6096,157,32
SHRUB,Sterculiacea,Herrania,purpurea,HERRPU,HERP,50.67999999,18,68.67999999,0.737914968,0,18,3,4,3
UNDERSTORY,Flacourtiace,Lindackeria,laurina,LINDLA,LINL,762.6666666,282.7777778,1045.444444,0.729514295,25,225,330,95,30
TREE,Araliaceae,Dendropanax,arboreus,DENDAR,DENA,27121.425,10962.5,38083.925,0.712148892,1660,4364,6823,197,32
SHRUB,Rubiaceae,Psychotria,chagrensis,PSYCCH,PYCH,4.937142858,2,6.937142858,0.71169687,0,2,3,4,2
SHRUB,Capparaceae,Capparis,frondosa,CAPPFR,CAPF,951.50873,394.0015873,1345.510317,0.707173121,12,221,66,42,30
TREE,Fabaceae:Cae,Tachigali,versicolor,TACHVE,TACV,140,60,200,0.7,59,1,140,22,8
LIANA,Fabaceae,Dioclea,wilsonii,DIOCWI,DIOW,27.84,11.96,39.8,0.699497487,3,5,12,6,13
TREE,Sapotaceae,Pouteria,reticulata,POUTRE,POUU,2757,1185,3942,0.699391172,334,851,2757,159,30
UNDERSTORY,Euphorbiacea,Alchornea,costaricensi,ALCHCO,ALCC,50183.33334,22406.66667,72590.00001,0.691325711,8074,8950,30110,131,33
UNDERSTORY,Arecaceae,Attalea,butyracea,SCH1ZO,ATTB,45.92,20.72,66.64,0.68907563,6,14,41,10,12
TREE,Fabaceae:Cae,Prioria,copaifera,PRI2CO,PRIC,1479,670,2149,0.688227082,661,9,1479,51,33
